,Indicator,State,Time Period End Date,Value
1447,Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,2020-06,37.9
1448,Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,2020-06,33.4
1449,Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,2020-06,38.7
1450,Symptoms of Anxiety Disorder or Depressive Disorder,New Mexico,2020-06,25.5
1451,Symptoms of Anxiety Disorder or Depressive Disorder,New York,2020-06,32.9
1452,Symptoms of Anxiety Disorder or Depressive Disorder,North Carolina,2020-06,36.2
1453,Symptoms of Anxiety Disorder or Depressive Disorder,North Dakota,2020-06,33.6
1454,Symptoms of Anxiety Disorder or Depressive Disorder,Ohio,2020-06,35.6
1455,Symptoms of Anxiety Disorder or Depressive Disorder,Oklahoma,2020-06,34.9
1456,Symptoms of Anxiety Disorder or Depressive Disorder,Oregon,2020-06,43.5
1457,Symptoms of Anxiety Disorder or Depressive Disorder,Pennsylvania,2020-06,35.0
1458,Symptoms of Anxiety Disorder or Depressive Disorder,Rhode Island,2020-06,32.2
1459,Symptoms of Anxiety Disorder or Depressive Disorder,South Carolina,2020-06,35.5
1460,Symptoms of Anxiety Disorder or Depressive Disorder,South Dakota,2020-06,28.0
1461,Symptoms of Anxiety Disorder or Depressive Disorder,Tennessee,2020-06,31.7
1462,Symptoms of Anxiety Disorder or Depressive Disorder,Texas,2020-06,39.5
1463,Symptoms of Anxiety Disorder or Depressive Disorder,Utah,2020-06,36.0
1464,Symptoms of Anxiety Disorder or Depressive Disorder,Vermont,2020-06,36.3
1465,Symptoms of Anxiety Disorder or Depressive Disorder,Virginia,2020-06,33.9
1466,Symptoms of Anxiety Disorder or Depressive Disorder,Washington,2020-06,34.2
1467,Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,2020-06,32.2
1468,Symptoms of Anxiety Disorder or Depressive Disorder,Wisconsin,2020-06,26.5
1469,Symptoms of Anxiety Disorder or Depressive Disorder,Wyoming,2020-06,32.6
1629,Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,2020-06,38.0
1630,Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,2020-06,37.1
1631,Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,2020-06,40.1
1632,Symptoms of Anxiety Disorder or Depressive Disorder,Arkansas,2020-06,38.2
1633,Symptoms of Anxiety Disorder or Depressive Disorder,California,2020-06,39.1
1634,Symptoms of Anxiety Disorder or Depressive Disorder,Colorado,2020-06,31.4
1635,Symptoms of Anxiety Disorder or Depressive Disorder,Connecticut,2020-06,39.4
1636,Symptoms of Anxiety Disorder or Depressive Disorder,Delaware,2020-06,30.9
1637,Symptoms of Anxiety Disorder or Depressive Disorder,District of Columbia,2020-06,43.1
1638,Symptoms of Anxiety Disorder or Depressive Disorder,Florida,2020-06,39.7
1639,Symptoms of Anxiety Disorder or Depressive Disorder,Georgia,2020-06,36.3
1640,Symptoms of Anxiety Disorder or Depressive Disorder,Hawaii,2020-06,29.4
1641,Symptoms of Anxiety Disorder or Depressive Disorder,Idaho,2020-06,31.7
1642,Symptoms of Anxiety Disorder or Depressive Disorder,Illinois,2020-06,34.2
1643,Symptoms of Anxiety Disorder or Depressive Disorder,Indiana,2020-06,35.9
1644,Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,2020-06,37.4
1645,Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,2020-06,32.9
1646,Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,2020-06,38.3
1647,Symptoms of Anxiety Disorder or Depressive Disorder,Louisiana,2020-06,46.8
1648,Symptoms of Anxiety Disorder or Depressive Disorder,Maine,2020-06,28.7
1649,Symptoms of Anxiety Disorder or Depressive Disorder,Maryland,2020-06,33.3
1650,Symptoms of Anxiety Disorder or Depressive Disorder,Massachusetts,2020-06,33.7
1651,Symptoms of Anxiety Disorder or Depressive Disorder,Michigan,2020-06,31.9
1652,Symptoms of Anxiety Disorder or Depressive Disorder,Minnesota,2020-06,30.6
1653,Symptoms of Anxiety Disorder or Depressive Disorder,Mississippi,2020-06,37.6
1654,Symptoms of Anxiety Disorder or Depressive Disorder,Missouri,2020-06,32.9
1655,Symptoms of Anxiety Disorder or Depressive Disorder,Montana,2020-06,30.9
1656,Symptoms of Anxiety Disorder or Depressive Disorder,Nebraska,2020-06,31.2
1657,Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,2020-06,45.6
1658,Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,2020-06,34.4
1659,Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,2020-06,34.1
1660,Symptoms of Anxiety Disorder or Depressive Disorder,New Mexico,2020-06,42.5
1661,Symptoms of Anxiety Disorder or Depressive Disorder,New York,2020-06,32.9
1662,Symptoms of Anxiety Disorder or Depressive Disorder,North Carolina,2020-06,34.1
1663,Symptoms of Anxiety Disorder or Depressive Disorder,North Dakota,2020-06,33.0
1664,Symptoms of Anxiety Disorder or Depressive Disorder,Ohio,2020-06,31.6
1665,Symptoms of Anxiety Disorder or Depressive Disorder,Oklahoma,2020-06,44.5
1666,Symptoms of Anxiety Disorder or Depressive Disorder,Oregon,2020-06,42.4
1667,Symptoms of Anxiety Disorder or Depressive Disorder,Pennsylvania,2020-06,39.8
1668,Symptoms of Anxiety Disorder or Depressive Disorder,Rhode Island,2020-06,32.9
1669,Symptoms of Anxiety Disorder or Depressive Disorder,South Carolina,2020-06,34.4
1670,Symptoms of Anxiety Disorder or Depressive Disorder,South Dakota,2020-06,31.0
1671,Symptoms of Anxiety Disorder or Depressive Disorder,Tennessee,2020-06,36.6
1672,Symptoms of Anxiety Disorder or Depressive Disorder,Texas,2020-06,36.2
1673,Symptoms of Anxiety Disorder or Depressive Disorder,Utah,2020-06,37.2
1674,Symptoms of Anxiety Disorder or Depressive Disorder,Vermont,2020-06,27.9
1675,Symptoms of Anxiety Disorder or Depressive Disorder,Virginia,2020-06,36.9
1676,Symptoms of Anxiety Disorder or Depressive Disorder,Washington,2020-06,34.7
1677,Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,2020-06,38.4
1678,Symptoms of Anxiety Disorder or Depressive Disorder,Wisconsin,2020-06,24.6
1679,Symptoms of Anxiety Disorder or Depressive Disorder,Wyoming,2020-06,28.4
1839,Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,2020-06,35.9
1840,Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,2020-06,35.3
1841,Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,2020-06,44.1
1842,Symptoms of Anxiety Disorder or Depressive Disorder,Arkansas,2020-06,37.4
1843,Symptoms of Anxiety Disorder or Depressive Disorder,California,2020-06,38.1
1844,Symptoms of Anxiety Disorder or Depressive Disorder,Colorado,2020-06,37.3
1845,Symptoms of Anxiety Disorder or Depressive Disorder,Connecticut,2020-06,35.3
1846,Symptoms of Anxiety Disorder or Depressive Disorder,Delaware,2020-06,33.2
1847,Symptoms of Anxiety Disorder or Depressive Disorder,District of Columbia,2020-06,39.4
1848,Symptoms of Anxiety Disorder or Depressive Disorder,Florida,2020-06,43.8
1849,Symptoms of Anxiety Disorder or Depressive Disorder,Georgia,2020-06,40.9
1850,Symptoms of Anxiety Disorder or Depressive Disorder,Hawaii,2020-06,38.3
1851,Symptoms of Anxiety Disorder or Depressive Disorder,Idaho,2020-06,40.7
1852,Symptoms of Anxiety Disorder or Depressive Disorder,Illinois,2020-06,39.6
1853,Symptoms of Anxiety Disorder or Depressive Disorder,Indiana,2020-06,38.1
1854,Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,2020-06,34.3
1855,Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,2020-06,31.4
1856,Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,2020-06,38.5
1857,Symptoms of Anxiety Disorder or Depressive Disorder,Louisiana,2020-06,44.9
1858,Symptoms of Anxiety Disorder or Depressive Disorder,Maine,2020-06,35.6
1859,Symptoms of Anxiety Disorder or Depressive Disorder,Maryland,2020-06,33.6
1860,Symptoms of Anxiety Disorder or Depressive Disorder,Massachusetts,2020-06,34.5
1861,Symptoms of Anxiety Disorder or Depressive Disorder,Michigan,2020-06,34.8
1862,Symptoms of Anxiety Disorder or Depressive Disorder,Minnesota,2020-06,29.9
1863,Symptoms of Anxiety Disorder or Depressive Disorder,Mississippi,2020-06,42.1
1864,Symptoms of Anxiety Disorder or Depressive Disorder,Missouri,2020-06,35.8
1865,Symptoms of Anxiety Disorder or Depressive Disorder,Montana,2020-06,30.6
1866,Symptoms of Anxiety Disorder or Depressive Disorder,Nebraska,2020-06,30.5
1867,Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,2020-06,39.1
1868,Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,2020-06,32.4
1869,Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,2020-06,33.9
1870,Symptoms of Anxiety Disorder or Depressive Disorder,New Mexico,2020-06,39.1
1871,Symptoms of Anxiety Disorder or Depressive Disorder,New York,2020-06,34.3
1872,Symptoms of Anxiety Disorder or Depressive Disorder,North Carolina,2020-06,33.4
1873,Symptoms of Anxiety Disorder or Depressive Disorder,North Dakota,2020-06,34.0
1874,Symptoms of Anxiety Disorder or Depressive Disorder,Ohio,2020-06,34.6
1875,Symptoms of Anxiety Disorder or Depressive Disorder,Oklahoma,2020-06,43.0
1876,Symptoms of Anxiety Disorder or Depressive Disorder,Oregon,2020-06,38.9
1877,Symptoms of Anxiety Disorder or Depressive Disorder,Pennsylvania,2020-06,37.5
1878,Symptoms of Anxiety Disorder or Depressive Disorder,Rhode Island,2020-06,35.2
1879,Symptoms of Anxiety Disorder or Depressive Disorder,South Carolina,2020-06,39.4
1880,Symptoms of Anxiety Disorder or Depressive Disorder,South Dakota,2020-06,35.0
1881,Symptoms of Anxiety Disorder or Depressive Disorder,Tennessee,2020-06,42.4
1882,Symptoms of Anxiety Disorder or Depressive Disorder,Texas,2020-06,40.7
1883,Symptoms of Anxiety Disorder or Depressive Disorder,Utah,2020-06,36.7
1884,Symptoms of Anxiety Disorder or Depressive Disorder,Vermont,2020-06,32.8
1885,Symptoms of Anxiety Disorder or Depressive Disorder,Virginia,2020-06,33.1
1886,Symptoms of Anxiety Disorder or Depressive Disorder,Washington,2020-06,42.0
1887,Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,2020-06,45.1
1888,Symptoms of Anxiety Disorder or Depressive Disorder,Wisconsin,2020-06,29.2
1889,Symptoms of Anxiety Disorder or Depressive Disorder,Wyoming,2020-06,34.2
2049,Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,2020-07,39.6
2050,Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,2020-07,32.9
2051,Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,2020-07,42.4
2052,Symptoms of Anxiety Disorder or Depressive Disorder,Arkansas,2020-07,41.2
2053,Symptoms of Anxiety Disorder or Depressive Disorder,California,2020-07,39.4
2054,Symptoms of Anxiety Disorder or Depressive Disorder,Colorado,2020-07,42.4
2055,Symptoms of Anxiety Disorder or Depressive Disorder,Connecticut,2020-07,39.0
2056,Symptoms of Anxiety Disorder or Depressive Disorder,Delaware,2020-07,31.5
2057,Symptoms of Anxiety Disorder or Depressive Disorder,District of Columbia,2020-07,37.8
2058,Symptoms of Anxiety Disorder or Depressive Disorder,Florida,2020-07,42.0
2059,Symptoms of Anxiety Disorder or Depressive Disorder,Georgia,2020-07,38.0
2060,Symptoms of Anxiety Disorder or Depressive Disorder,Hawaii,2020-07,37.1
2061,Symptoms of Anxiety Disorder or Depressive Disorder,Idaho,2020-07,37.7
2062,Symptoms of Anxiety Disorder or Depressive Disorder,Illinois,2020-07,39.4
2063,Symptoms of Anxiety Disorder or Depressive Disorder,Indiana,2020-07,39.0
2064,Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,2020-07,31.6
2065,Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,2020-07,35.8
2066,Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,2020-07,39.9
2067,Symptoms of Anxiety Disorder or Depressive Disorder,Louisiana,2020-07,44.8
2068,Symptoms of Anxiety Disorder or Depressive Disorder,Maine,2020-07,36.3
2069,Symptoms of Anxiety Disorder or Depressive Disorder,Maryland,2020-07,36.1
2070,Symptoms of Anxiety Disorder or Depressive Disorder,Massachusetts,2020-07,33.4
2071,Symptoms of Anxiety Disorder or Depressive Disorder,Michigan,2020-07,36.7
2072,Symptoms of Anxiety Disorder or Depressive Disorder,Minnesota,2020-07,31.1
2073,Symptoms of Anxiety Disorder or Depressive Disorder,Mississippi,2020-07,43.7
2074,Symptoms of Anxiety Disorder or Depressive Disorder,Missouri,2020-07,40.6
2075,Symptoms of Anxiety Disorder or Depressive Disorder,Montana,2020-07,34.3
2076,Symptoms of Anxiety Disorder or Depressive Disorder,Nebraska,2020-07,30.9
2077,Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,2020-07,44.8
2078,Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,2020-07,35.7
2079,Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,2020-07,38.2
2080,Symptoms of Anxiety Disorder or Depressive Disorder,New Mexico,2020-07,43.3
2081,Symptoms of Anxiety Disorder or Depressive Disorder,New York,2020-07,39.7
2082,Symptoms of Anxiety Disorder or Depressive Disorder,North Carolina,2020-07,38.4
2083,Symptoms of Anxiety Disorder or Depressive Disorder,North Dakota,2020-07,32.6
2084,Symptoms of Anxiety Disorder or Depressive Disorder,Ohio,2020-07,34.9
2085,Symptoms of Anxiety Disorder or Depressive Disorder,Oklahoma,2020-07,42.9
2086,Symptoms of Anxiety Disorder or Depressive Disorder,Oregon,2020-07,39.7
2087,Symptoms of Anxiety Disorder or Depressive Disorder,Pennsylvania,2020-07,37.2
2088,Symptoms of Anxiety Disorder or Depressive Disorder,Rhode Island,2020-07,34.8
2089,Symptoms of Anxiety Disorder or Depressive Disorder,South Carolina,2020-07,38.6
2090,Symptoms of Anxiety Disorder or Depressive Disorder,South Dakota,2020-07,35.2
2091,Symptoms of Anxiety Disorder or Depressive Disorder,Tennessee,2020-07,41.9
2092,Symptoms of Anxiety Disorder or Depressive Disorder,Texas,2020-07,41.6
2093,Symptoms of Anxiety Disorder or Depressive Disorder,Utah,2020-07,34.7
2094,Symptoms of Anxiety Disorder or Depressive Disorder,Vermont,2020-07,32.2
2095,Symptoms of Anxiety Disorder or Depressive Disorder,Virginia,2020-07,38.5
2096,Symptoms of Anxiety Disorder or Depressive Disorder,Washington,2020-07,42.0
2097,Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,2020-07,34.6
2098,Symptoms of Anxiety Disorder or Depressive Disorder,Wisconsin,2020-07,34.1
2099,Symptoms of Anxiety Disorder or Depressive Disorder,Wyoming,2020-07,36.0
2259,Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,2020-07,40.1
2260,Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,2020-07,39.6
2261,Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,2020-07,44.2
2262,Symptoms of Anxiety Disorder or Depressive Disorder,Arkansas,2020-07,45.1
2263,Symptoms of Anxiety Disorder or Depressive Disorder,California,2020-07,44.5
2264,Symptoms of Anxiety Disorder or Depressive Disorder,Colorado,2020-07,39.2
2265,Symptoms of Anxiety Disorder or Depressive Disorder,Connecticut,2020-07,35.7
2266,Symptoms of Anxiety Disorder or Depressive Disorder,Delaware,2020-07,34.4
2267,Symptoms of Anxiety Disorder or Depressive Disorder,District of Columbia,2020-07,28.0
2268,Symptoms of Anxiety Disorder or Depressive Disorder,Florida,2020-07,43.6
2269,Symptoms of Anxiety Disorder or Depressive Disorder,Georgia,2020-07,43.6
2270,Symptoms of Anxiety Disorder or Depressive Disorder,Hawaii,2020-07,36.7
2271,Symptoms of Anxiety Disorder or Depressive Disorder,Idaho,2020-07,37.3
2272,Symptoms of Anxiety Disorder or Depressive Disorder,Illinois,2020-07,34.0
2273,Symptoms of Anxiety Disorder or Depressive Disorder,Indiana,2020-07,40.7
2274,Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,2020-07,28.9
2275,Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,2020-07,35.2
2276,Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,2020-07,42.2
2277,Symptoms of Anxiety Disorder or Depressive Disorder,Louisiana,2020-07,45.4
2278,Symptoms of Anxiety Disorder or Depressive Disorder,Maine,2020-07,33.0
2279,Symptoms of Anxiety Disorder or Depressive Disorder,Maryland,2020-07,33.6
2280,Symptoms of Anxiety Disorder or Depressive Disorder,Massachusetts,2020-07,38.2
2281,Symptoms of Anxiety Disorder or Depressive Disorder,Michigan,2020-07,35.6
2282,Symptoms of Anxiety Disorder or Depressive Disorder,Minnesota,2020-07,31.5
2283,Symptoms of Anxiety Disorder or Depressive Disorder,Mississippi,2020-07,46.5
2284,Symptoms of Anxiety Disorder or Depressive Disorder,Missouri,2020-07,38.7
2285,Symptoms of Anxiety Disorder or Depressive Disorder,Montana,2020-07,40.2
2286,Symptoms of Anxiety Disorder or Depressive Disorder,Nebraska,2020-07,34.1
2287,Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,2020-07,46.4
2288,Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,2020-07,35.1
2289,Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,2020-07,42.0
2290,Symptoms of Anxiety Disorder or Depressive Disorder,New Mexico,2020-07,41.7
2291,Symptoms of Anxiety Disorder or Depressive Disorder,New York,2020-07,38.3
2292,Symptoms of Anxiety Disorder or Depressive Disorder,North Carolina,2020-07,38.3
2293,Symptoms of Anxiety Disorder or Depressive Disorder,North Dakota,2020-07,33.3
2294,Symptoms of Anxiety Disorder or Depressive Disorder,Ohio,2020-07,34.8
2295,Symptoms of Anxiety Disorder or Depressive Disorder,Oklahoma,2020-07,44.7
2296,Symptoms of Anxiety Disorder or Depressive Disorder,Oregon,2020-07,43.9
2297,Symptoms of Anxiety Disorder or Depressive Disorder,Pennsylvania,2020-07,40.3
2298,Symptoms of Anxiety Disorder or Depressive Disorder,Rhode Island,2020-07,42.0
2299,Symptoms of Anxiety Disorder or Depressive Disorder,South Carolina,2020-07,34.3
2300,Symptoms of Anxiety Disorder or Depressive Disorder,South Dakota,2020-07,34.7
2301,Symptoms of Anxiety Disorder or Depressive Disorder,Tennessee,2020-07,41.9
2302,Symptoms of Anxiety Disorder or Depressive Disorder,Texas,2020-07,45.9
2303,Symptoms of Anxiety Disorder or Depressive Disorder,Utah,2020-07,34.3
2304,Symptoms of Anxiety Disorder or Depressive Disorder,Vermont,2020-07,35.4
2305,Symptoms of Anxiety Disorder or Depressive Disorder,Virginia,2020-07,35.2
2306,Symptoms of Anxiety Disorder or Depressive Disorder,Washington,2020-07,40.5
2307,Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,2020-07,40.9
2308,Symptoms of Anxiety Disorder or Depressive Disorder,Wisconsin,2020-07,36.6
2309,Symptoms of Anxiety Disorder or Depressive Disorder,Wyoming,2020-07,33.0
2469,Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,2020-07,43.3
2470,Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,2020-07,38.8
2471,Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,2020-07,44.9
2472,Symptoms of Anxiety Disorder or Depressive Disorder,Arkansas,2020-07,43.5
2473,Symptoms of Anxiety Disorder or Depressive Disorder,California,2020-07,44.1
2474,Symptoms of Anxiety Disorder or Depressive Disorder,Colorado,2020-07,41.5
2475,Symptoms of Anxiety Disorder or Depressive Disorder,Connecticut,2020-07,35.1
2476,Symptoms of Anxiety Disorder or Depressive Disorder,Delaware,2020-07,36.6
2477,Symptoms of Anxiety Disorder or Depressive Disorder,District of Columbia,2020-07,36.1
2478,Symptoms of Anxiety Disorder or Depressive Disorder,Florida,2020-07,40.5
2479,Symptoms of Anxiety Disorder or Depressive Disorder,Georgia,2020-07,40.0
2480,Symptoms of Anxiety Disorder or Depressive Disorder,Hawaii,2020-07,41.3
2481,Symptoms of Anxiety Disorder or Depressive Disorder,Idaho,2020-07,45.5
2482,Symptoms of Anxiety Disorder or Depressive Disorder,Illinois,2020-07,43.2
2483,Symptoms of Anxiety Disorder or Depressive Disorder,Indiana,2020-07,42.0
2484,Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,2020-07,37.8
2485,Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,2020-07,39.9
2486,Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,2020-07,41.7
2487,Symptoms of Anxiety Disorder or Depressive Disorder,Louisiana,2020-07,43.1
2488,Symptoms of Anxiety Disorder or Depressive Disorder,Maine,2020-07,37.8
2489,Symptoms of Anxiety Disorder or Depressive Disorder,Maryland,2020-07,39.3
2490,Symptoms of Anxiety Disorder or Depressive Disorder,Massachusetts,2020-07,35.2
2491,Symptoms of Anxiety Disorder or Depressive Disorder,Michigan,2020-07,40.7
2492,Symptoms of Anxiety Disorder or Depressive Disorder,Minnesota,2020-07,35.7
2493,Symptoms of Anxiety Disorder or Depressive Disorder,Mississippi,2020-07,48.0
2494,Symptoms of Anxiety Disorder or Depressive Disorder,Missouri,2020-07,37.9
2495,Symptoms of Anxiety Disorder or Depressive Disorder,Montana,2020-07,36.0
2496,Symptoms of Anxiety Disorder or Depressive Disorder,Nebraska,2020-07,37.3
2497,Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,2020-07,46.8
2498,Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,2020-07,40.7
2499,Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,2020-07,37.6
2500,Symptoms of Anxiety Disorder or Depressive Disorder,New Mexico,2020-07,47.5
2501,Symptoms of Anxiety Disorder or Depressive Disorder,New York,2020-07,41.1
2502,Symptoms of Anxiety Disorder or Depressive Disorder,North Carolina,2020-07,39.5
2503,Symptoms of Anxiety Disorder or Depressive Disorder,North Dakota,2020-07,33.8
2504,Symptoms of Anxiety Disorder or Depressive Disorder,Ohio,2020-07,37.1
2505,Symptoms of Anxiety Disorder or Depressive Disorder,Oklahoma,2020-07,44.1
2506,Symptoms of Anxiety Disorder or Depressive Disorder,Oregon,2020-07,50.2
2507,Symptoms of Anxiety Disorder or Depressive Disorder,Pennsylvania,2020-07,31.8
2508,Symptoms of Anxiety Disorder or Depressive Disorder,Rhode Island,2020-07,44.5
2509,Symptoms of Anxiety Disorder or Depressive Disorder,South Carolina,2020-07,42.3
2510,Symptoms of Anxiety Disorder or Depressive Disorder,South Dakota,2020-07,35.4
2511,Symptoms of Anxiety Disorder or Depressive Disorder,Tennessee,2020-07,43.6
2512,Symptoms of Anxiety Disorder or Depressive Disorder,Texas,2020-07,44.3
2513,Symptoms of Anxiety Disorder or Depressive Disorder,Utah,2020-07,37.8
2514,Symptoms of Anxiety Disorder or Depressive Disorder,Vermont,2020-07,33.2
2515,Symptoms of Anxiety Disorder or Depressive Disorder,Virginia,2020-07,38.3
2516,Symptoms of Anxiety Disorder or Depressive Disorder,Washington,2020-07,43.8
2517,Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,2020-07,37.0
2518,Symptoms of Anxiety Disorder or Depressive Disorder,Wisconsin,2020-07,33.3
2519,Symptoms of Anxiety Disorder or Depressive Disorder,Wyoming,2020-07,41.3
2736,Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,2020-08,37.2
2737,Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,2020-08,34.8
2738,Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,2020-08,35.1
2739,Symptoms of Anxiety Disorder or Depressive Disorder,Arkansas,2020-08,35.3
2740,Symptoms of Anxiety Disorder or Depressive Disorder,California,2020-08,38.0
2741,Symptoms of Anxiety Disorder or Depressive Disorder,Colorado,2020-08,37.6
2742,Symptoms of Anxiety Disorder or Depressive Disorder,Connecticut,2020-08,38.8
2743,Symptoms of Anxiety Disorder or Depressive Disorder,Delaware,2020-08,30.5
2744,Symptoms of Anxiety Disorder or Depressive Disorder,District of Columbia,2020-08,35.3
2745,Symptoms of Anxiety Disorder or Depressive Disorder,Florida,2020-08,39.4
2746,Symptoms of Anxiety Disorder or Depressive Disorder,Georgia,2020-08,38.7
2747,Symptoms of Anxiety Disorder or Depressive Disorder,Hawaii,2020-08,40.0
2748,Symptoms of Anxiety Disorder or Depressive Disorder,Idaho,2020-08,32.6
2749,Symptoms of Anxiety Disorder or Depressive Disorder,Illinois,2020-08,38.2
2750,Symptoms of Anxiety Disorder or Depressive Disorder,Indiana,2020-08,38.2
2751,Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,2020-08,33.2
2752,Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,2020-08,35.9
2753,Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,2020-08,38.7
2754,Symptoms of Anxiety Disorder or Depressive Disorder,Louisiana,2020-08,39.7
2755,Symptoms of Anxiety Disorder or Depressive Disorder,Maine,2020-08,39.3
2756,Symptoms of Anxiety Disorder or Depressive Disorder,Maryland,2020-08,34.1
2757,Symptoms of Anxiety Disorder or Depressive Disorder,Massachusetts,2020-08,35.8
2758,Symptoms of Anxiety Disorder or Depressive Disorder,Michigan,2020-08,36.7
2759,Symptoms of Anxiety Disorder or Depressive Disorder,Minnesota,2020-08,31.8
2760,Symptoms of Anxiety Disorder or Depressive Disorder,Mississippi,2020-08,33.2
2761,Symptoms of Anxiety Disorder or Depressive Disorder,Missouri,2020-08,33.5
2762,Symptoms of Anxiety Disorder or Depressive Disorder,Montana,2020-08,30.7
2763,Symptoms of Anxiety Disorder or Depressive Disorder,Nebraska,2020-08,32.0
2764,Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,2020-08,40.4
2765,Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,2020-08,31.5
2766,Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,2020-08,37.8
2767,Symptoms of Anxiety Disorder or Depressive Disorder,New Mexico,2020-08,38.9
2768,Symptoms of Anxiety Disorder or Depressive Disorder,New York,2020-08,34.4
2769,Symptoms of Anxiety Disorder or Depressive Disorder,North Carolina,2020-08,32.3
2770,Symptoms of Anxiety Disorder or Depressive Disorder,North Dakota,2020-08,29.6
2771,Symptoms of Anxiety Disorder or Depressive Disorder,Ohio,2020-08,37.3
2772,Symptoms of Anxiety Disorder or Depressive Disorder,Oklahoma,2020-08,38.6
2773,Symptoms of Anxiety Disorder or Depressive Disorder,Oregon,2020-08,38.4
2774,Symptoms of Anxiety Disorder or Depressive Disorder,Pennsylvania,2020-08,35.7
2775,Symptoms of Anxiety Disorder or Depressive Disorder,Rhode Island,2020-08,34.2
2776,Symptoms of Anxiety Disorder or Depressive Disorder,South Carolina,2020-08,30.4
2777,Symptoms of Anxiety Disorder or Depressive Disorder,South Dakota,2020-08,24.2
2778,Symptoms of Anxiety Disorder or Depressive Disorder,Tennessee,2020-08,38.4
2779,Symptoms of Anxiety Disorder or Depressive Disorder,Texas,2020-08,37.1
2780,Symptoms of Anxiety Disorder or Depressive Disorder,Utah,2020-08,34.4
2781,Symptoms of Anxiety Disorder or Depressive Disorder,Vermont,2020-08,32.0
2782,Symptoms of Anxiety Disorder or Depressive Disorder,Virginia,2020-08,35.2
2783,Symptoms of Anxiety Disorder or Depressive Disorder,Washington,2020-08,37.2
2784,Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,2020-08,34.5
2785,Symptoms of Anxiety Disorder or Depressive Disorder,Wisconsin,2020-08,29.1
2786,Symptoms of Anxiety Disorder or Depressive Disorder,Wyoming,2020-08,35.6
