,Indicator,Group,State,Subgroup,Time Period End Date,Value
1583,Symptoms of Anxiety Disorder,By State,Mississippi,Mississippi,2020-06,31.8
1584,Symptoms of Anxiety Disorder,By State,Missouri,Missouri,2020-06,28.3
1585,Symptoms of Anxiety Disorder,By State,Montana,Montana,2020-06,27.8
1586,Symptoms of Anxiety Disorder,By State,Nebraska,Nebraska,2020-06,25.0
1587,Symptoms of Anxiety Disorder,By State,Nevada,Nevada,2020-06,38.4
1588,Symptoms of Anxiety Disorder,By State,New Hampshire,New Hampshire,2020-06,31.2
1589,Symptoms of Anxiety Disorder,By State,New Jersey,New Jersey,2020-06,30.8
1590,Symptoms of Anxiety Disorder,By State,New Mexico,New Mexico,2020-06,39.0
1591,Symptoms of Anxiety Disorder,By State,New York,New York,2020-06,26.9
1592,Symptoms of Anxiety Disorder,By State,North Carolina,North Carolina,2020-06,29.1
1593,Symptoms of Anxiety Disorder,By State,North Dakota,North Dakota,2020-06,28.7
1594,Symptoms of Anxiety Disorder,By State,Ohio,Ohio,2020-06,27.7
1595,Symptoms of Anxiety Disorder,By State,Oklahoma,Oklahoma,2020-06,39.0
1596,Symptoms of Anxiety Disorder,By State,Oregon,Oregon,2020-06,37.1
1597,Symptoms of Anxiety Disorder,By State,Pennsylvania,Pennsylvania,2020-06,32.7
1598,Symptoms of Anxiety Disorder,By State,Rhode Island,Rhode Island,2020-06,28.2
1599,Symptoms of Anxiety Disorder,By State,South Carolina,South Carolina,2020-06,31.4
1600,Symptoms of Anxiety Disorder,By State,South Dakota,South Dakota,2020-06,24.2
1601,Symptoms of Anxiety Disorder,By State,Tennessee,Tennessee,2020-06,30.8
1602,Symptoms of Anxiety Disorder,By State,Texas,Texas,2020-06,32.1
1603,Symptoms of Anxiety Disorder,By State,Utah,Utah,2020-06,33.3
1604,Symptoms of Anxiety Disorder,By State,Vermont,Vermont,2020-06,25.0
1605,Symptoms of Anxiety Disorder,By State,Virginia,Virginia,2020-06,31.9
1606,Symptoms of Anxiety Disorder,By State,Washington,Washington,2020-06,30.5
1607,Symptoms of Anxiety Disorder,By State,West Virginia,West Virginia,2020-06,34.7
1608,Symptoms of Anxiety Disorder,By State,Wisconsin,Wisconsin,2020-06,21.3
1609,Symptoms of Anxiety Disorder,By State,Wyoming,Wyoming,2020-06,23.7
1629,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,2020-06,38.0
1630,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,2020-06,37.1
1631,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,Arizona,2020-06,40.1
1632,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,Arkansas,2020-06,38.2
1633,Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,California,2020-06,39.1
1634,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,Colorado,2020-06,31.4
1635,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,Connecticut,2020-06,39.4
1636,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,Delaware,2020-06,30.9
1637,Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,District of Columbia,2020-06,43.1
1638,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,Florida,2020-06,39.7
1639,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,2020-06,36.3
1640,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,2020-06,29.4
1641,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,Idaho,2020-06,31.7
1642,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,Illinois,2020-06,34.2
1643,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,Indiana,2020-06,35.9
1644,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,Iowa,2020-06,37.4
1645,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,Kansas,2020-06,32.9
1646,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,Kentucky,2020-06,38.3
1647,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,Louisiana,2020-06,46.8
1648,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,Maine,2020-06,28.7
1649,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,Maryland,2020-06,33.3
1650,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,Massachusetts,2020-06,33.7
1651,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,Michigan,2020-06,31.9
1652,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,Minnesota,2020-06,30.6
1653,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,Mississippi,2020-06,37.6
1654,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,2020-06,32.9
1655,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,2020-06,30.9
1656,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,Nebraska,2020-06,31.2
1657,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,Nevada,2020-06,45.6
1658,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,New Hampshire,2020-06,34.4
1659,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,New Jersey,2020-06,34.1
1660,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,New Mexico,2020-06,42.5
1661,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,2020-06,32.9
1662,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,North Carolina,2020-06,34.1
1663,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,North Dakota,2020-06,33.0
1664,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,Ohio,2020-06,31.6
1665,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,Oklahoma,2020-06,44.5
1666,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,Oregon,2020-06,42.4
1667,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,Pennsylvania,2020-06,39.8
1668,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,Rhode Island,2020-06,32.9
1669,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,South Carolina,2020-06,34.4
1670,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,South Dakota,2020-06,31.0
1671,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,Tennessee,2020-06,36.6
1672,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,Texas,2020-06,36.2
1673,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,Utah,2020-06,37.2
1674,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,Vermont,2020-06,27.9
1675,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,Virginia,2020-06,36.9
1676,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,Washington,2020-06,34.7
1677,Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,West Virginia,2020-06,38.4
1678,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,Wisconsin,2020-06,24.6
1679,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,Wyoming,2020-06,28.4
1699,Symptoms of Depressive Disorder,By State,Alabama,Alabama,2020-06,26.5
1700,Symptoms of Depressive Disorder,By State,Alaska,Alaska,2020-06,23.8
1701,Symptoms of Depressive Disorder,By State,Arizona,Arizona,2020-06,32.7
1702,Symptoms of Depressive Disorder,By State,Arkansas,Arkansas,2020-06,29.6
1703,Symptoms of Depressive Disorder,By State,California,California,2020-06,27.6
1704,Symptoms of Depressive Disorder,By State,Colorado,Colorado,2020-06,26.1
1705,Symptoms of Depressive Disorder,By State,Connecticut,Connecticut,2020-06,24.0
1706,Symptoms of Depressive Disorder,By State,Delaware,Delaware,2020-06,25.4
1707,Symptoms of Depressive Disorder,By State,District of Columbia,District of Columbia,2020-06,27.6
1708,Symptoms of Depressive Disorder,By State,Florida,Florida,2020-06,31.8
1709,Symptoms of Depressive Disorder,By State,Georgia,Georgia,2020-06,31.4
1710,Symptoms of Depressive Disorder,By State,Hawaii,Hawaii,2020-06,28.2
1711,Symptoms of Depressive Disorder,By State,Idaho,Idaho,2020-06,29.5
1712,Symptoms of Depressive Disorder,By State,Illinois,Illinois,2020-06,28.1
1713,Symptoms of Depressive Disorder,By State,Indiana,Indiana,2020-06,26.2
1714,Symptoms of Depressive Disorder,By State,Iowa,Iowa,2020-06,23.1
1715,Symptoms of Depressive Disorder,By State,Kansas,Kansas,2020-06,20.9
1716,Symptoms of Depressive Disorder,By State,Kentucky,Kentucky,2020-06,26.4
1717,Symptoms of Depressive Disorder,By State,Louisiana,Louisiana,2020-06,32.2
1718,Symptoms of Depressive Disorder,By State,Maine,Maine,2020-06,23.8
1719,Symptoms of Depressive Disorder,By State,Maryland,Maryland,2020-06,22.1
1720,Symptoms of Depressive Disorder,By State,Massachusetts,Massachusetts,2020-06,24.2
1721,Symptoms of Depressive Disorder,By State,Michigan,Michigan,2020-06,23.5
1722,Symptoms of Depressive Disorder,By State,Minnesota,Minnesota,2020-06,22.3
1723,Symptoms of Depressive Disorder,By State,Mississippi,Mississippi,2020-06,34.4
1724,Symptoms of Depressive Disorder,By State,Missouri,Missouri,2020-06,25.6
1725,Symptoms of Depressive Disorder,By State,Montana,Montana,2020-06,22.2
1726,Symptoms of Depressive Disorder,By State,Nebraska,Nebraska,2020-06,22.0
1727,Symptoms of Depressive Disorder,By State,Nevada,Nevada,2020-06,26.8
1728,Symptoms of Depressive Disorder,By State,New Hampshire,New Hampshire,2020-06,24.3
1729,Symptoms of Depressive Disorder,By State,New Jersey,New Jersey,2020-06,24.2
1730,Symptoms of Depressive Disorder,By State,New Mexico,New Mexico,2020-06,29.7
1731,Symptoms of Depressive Disorder,By State,New York,New York,2020-06,23.9
1732,Symptoms of Depressive Disorder,By State,North Carolina,North Carolina,2020-06,22.7
1733,Symptoms of Depressive Disorder,By State,North Dakota,North Dakota,2020-06,25.0
1734,Symptoms of Depressive Disorder,By State,Ohio,Ohio,2020-06,23.3
1735,Symptoms of Depressive Disorder,By State,Oklahoma,Oklahoma,2020-06,32.8
1736,Symptoms of Depressive Disorder,By State,Oregon,Oregon,2020-06,27.1
1737,Symptoms of Depressive Disorder,By State,Pennsylvania,Pennsylvania,2020-06,26.5
1738,Symptoms of Depressive Disorder,By State,Rhode Island,Rhode Island,2020-06,24.0
1739,Symptoms of Depressive Disorder,By State,South Carolina,South Carolina,2020-06,28.9
1740,Symptoms of Depressive Disorder,By State,South Dakota,South Dakota,2020-06,25.1
1741,Symptoms of Depressive Disorder,By State,Tennessee,Tennessee,2020-06,30.5
1742,Symptoms of Depressive Disorder,By State,Texas,Texas,2020-06,28.2
1743,Symptoms of Depressive Disorder,By State,Utah,Utah,2020-06,26.0
1744,Symptoms of Depressive Disorder,By State,Vermont,Vermont,2020-06,22.3
1745,Symptoms of Depressive Disorder,By State,Virginia,Virginia,2020-06,24.2
1746,Symptoms of Depressive Disorder,By State,Washington,Washington,2020-06,31.1
1747,Symptoms of Depressive Disorder,By State,West Virginia,West Virginia,2020-06,34.5
1748,Symptoms of Depressive Disorder,By State,Wisconsin,Wisconsin,2020-06,19.0
1749,Symptoms of Depressive Disorder,By State,Wyoming,Wyoming,2020-06,23.4
1769,Symptoms of Anxiety Disorder,By State,Alabama,Alabama,2020-06,28.7
1770,Symptoms of Anxiety Disorder,By State,Alaska,Alaska,2020-06,32.5
1771,Symptoms of Anxiety Disorder,By State,Arizona,Arizona,2020-06,39.7
1772,Symptoms of Anxiety Disorder,By State,Arkansas,Arkansas,2020-06,33.5
1773,Symptoms of Anxiety Disorder,By State,California,California,2020-06,32.2
1774,Symptoms of Anxiety Disorder,By State,Colorado,Colorado,2020-06,33.0
1775,Symptoms of Anxiety Disorder,By State,Connecticut,Connecticut,2020-06,32.5
1776,Symptoms of Anxiety Disorder,By State,Delaware,Delaware,2020-06,27.4
1777,Symptoms of Anxiety Disorder,By State,District of Columbia,District of Columbia,2020-06,29.6
1778,Symptoms of Anxiety Disorder,By State,Florida,Florida,2020-06,37.7
1779,Symptoms of Anxiety Disorder,By State,Georgia,Georgia,2020-06,36.8
1780,Symptoms of Anxiety Disorder,By State,Hawaii,Hawaii,2020-06,31.5
1781,Symptoms of Anxiety Disorder,By State,Idaho,Idaho,2020-06,32.9
1782,Symptoms of Anxiety Disorder,By State,Illinois,Illinois,2020-06,33.7
1783,Symptoms of Anxiety Disorder,By State,Indiana,Indiana,2020-06,34.7
1784,Symptoms of Anxiety Disorder,By State,Iowa,Iowa,2020-06,31.5
1785,Symptoms of Anxiety Disorder,By State,Kansas,Kansas,2020-06,28.0
1786,Symptoms of Anxiety Disorder,By State,Kentucky,Kentucky,2020-06,33.9
1787,Symptoms of Anxiety Disorder,By State,Louisiana,Louisiana,2020-06,40.5
1788,Symptoms of Anxiety Disorder,By State,Maine,Maine,2020-06,32.0
1789,Symptoms of Anxiety Disorder,By State,Maryland,Maryland,2020-06,29.5
1790,Symptoms of Anxiety Disorder,By State,Massachusetts,Massachusetts,2020-06,28.7
1791,Symptoms of Anxiety Disorder,By State,Michigan,Michigan,2020-06,29.7
1792,Symptoms of Anxiety Disorder,By State,Minnesota,Minnesota,2020-06,25.1
1793,Symptoms of Anxiety Disorder,By State,Mississippi,Mississippi,2020-06,36.5
1794,Symptoms of Anxiety Disorder,By State,Missouri,Missouri,2020-06,32.2
1795,Symptoms of Anxiety Disorder,By State,Montana,Montana,2020-06,25.7
1796,Symptoms of Anxiety Disorder,By State,Nebraska,Nebraska,2020-06,27.8
1797,Symptoms of Anxiety Disorder,By State,Nevada,Nevada,2020-06,35.0
1798,Symptoms of Anxiety Disorder,By State,New Hampshire,New Hampshire,2020-06,27.5
1799,Symptoms of Anxiety Disorder,By State,New Jersey,New Jersey,2020-06,30.2
1800,Symptoms of Anxiety Disorder,By State,New Mexico,New Mexico,2020-06,32.2
1801,Symptoms of Anxiety Disorder,By State,New York,New York,2020-06,30.6
1802,Symptoms of Anxiety Disorder,By State,North Carolina,North Carolina,2020-06,30.4
1803,Symptoms of Anxiety Disorder,By State,North Dakota,North Dakota,2020-06,29.4
1804,Symptoms of Anxiety Disorder,By State,Ohio,Ohio,2020-06,28.8
1805,Symptoms of Anxiety Disorder,By State,Oklahoma,Oklahoma,2020-06,36.5
1806,Symptoms of Anxiety Disorder,By State,Oregon,Oregon,2020-06,34.1
1807,Symptoms of Anxiety Disorder,By State,Pennsylvania,Pennsylvania,2020-06,33.4
1808,Symptoms of Anxiety Disorder,By State,Rhode Island,Rhode Island,2020-06,28.9
1809,Symptoms of Anxiety Disorder,By State,South Carolina,South Carolina,2020-06,35.0
1810,Symptoms of Anxiety Disorder,By State,South Dakota,South Dakota,2020-06,31.4
1811,Symptoms of Anxiety Disorder,By State,Tennessee,Tennessee,2020-06,37.6
1812,Symptoms of Anxiety Disorder,By State,Texas,Texas,2020-06,35.9
1813,Symptoms of Anxiety Disorder,By State,Utah,Utah,2020-06,33.0
1814,Symptoms of Anxiety Disorder,By State,Vermont,Vermont,2020-06,29.7
1815,Symptoms of Anxiety Disorder,By State,Virginia,Virginia,2020-06,29.3
1816,Symptoms of Anxiety Disorder,By State,Washington,Washington,2020-06,37.0
1817,Symptoms of Anxiety Disorder,By State,West Virginia,West Virginia,2020-06,40.5
1818,Symptoms of Anxiety Disorder,By State,Wisconsin,Wisconsin,2020-06,25.5
1819,Symptoms of Anxiety Disorder,By State,Wyoming,Wyoming,2020-06,31.6
1839,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,2020-06,35.9
1840,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,2020-06,35.3
1841,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,Arizona,2020-06,44.1
1842,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,Arkansas,2020-06,37.4
1843,Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,California,2020-06,38.1
1844,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,Colorado,2020-06,37.3
1845,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,Connecticut,2020-06,35.3
1846,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,Delaware,2020-06,33.2
1847,Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,District of Columbia,2020-06,39.4
1848,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,Florida,2020-06,43.8
1849,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,2020-06,40.9
1850,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,2020-06,38.3
1851,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,Idaho,2020-06,40.7
1852,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,Illinois,2020-06,39.6
1853,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,Indiana,2020-06,38.1
1854,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,Iowa,2020-06,34.3
1855,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,Kansas,2020-06,31.4
1856,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,Kentucky,2020-06,38.5
1857,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,Louisiana,2020-06,44.9
1858,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,Maine,2020-06,35.6
1859,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,Maryland,2020-06,33.6
1860,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,Massachusetts,2020-06,34.5
1861,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,Michigan,2020-06,34.8
1862,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,Minnesota,2020-06,29.9
1863,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,Mississippi,2020-06,42.1
1864,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,2020-06,35.8
1865,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,2020-06,30.6
1866,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,Nebraska,2020-06,30.5
1867,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,Nevada,2020-06,39.1
1868,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,New Hampshire,2020-06,32.4
1869,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,New Jersey,2020-06,33.9
1870,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,New Mexico,2020-06,39.1
1871,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,2020-06,34.3
1872,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,North Carolina,2020-06,33.4
1873,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,North Dakota,2020-06,34.0
1874,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,Ohio,2020-06,34.6
1875,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,Oklahoma,2020-06,43.0
1876,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,Oregon,2020-06,38.9
1877,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,Pennsylvania,2020-06,37.5
1878,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,Rhode Island,2020-06,35.2
1879,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,South Carolina,2020-06,39.4
1880,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,South Dakota,2020-06,35.0
1881,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,Tennessee,2020-06,42.4
1882,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,Texas,2020-06,40.7
1883,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,Utah,2020-06,36.7
1884,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,Vermont,2020-06,32.8
1885,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,Virginia,2020-06,33.1
1886,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,Washington,2020-06,42.0
1887,Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,West Virginia,2020-06,45.1
1888,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,Wisconsin,2020-06,29.2
1889,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,Wyoming,2020-06,34.2
1909,Symptoms of Depressive Disorder,By State,Alabama,Alabama,2020-07,28.6
1910,Symptoms of Depressive Disorder,By State,Alaska,Alaska,2020-07,21.5
1911,Symptoms of Depressive Disorder,By State,Arizona,Arizona,2020-07,31.3
1912,Symptoms of Depressive Disorder,By State,Arkansas,Arkansas,2020-07,30.2
1913,Symptoms of Depressive Disorder,By State,California,California,2020-07,27.6
1914,Symptoms of Depressive Disorder,By State,Colorado,Colorado,2020-07,30.0
1915,Symptoms of Depressive Disorder,By State,Connecticut,Connecticut,2020-07,26.3
1916,Symptoms of Depressive Disorder,By State,Delaware,Delaware,2020-07,22.7
1917,Symptoms of Depressive Disorder,By State,District of Columbia,District of Columbia,2020-07,24.9
1918,Symptoms of Depressive Disorder,By State,Florida,Florida,2020-07,27.9
1919,Symptoms of Depressive Disorder,By State,Georgia,Georgia,2020-07,27.1
1920,Symptoms of Depressive Disorder,By State,Hawaii,Hawaii,2020-07,28.9
1921,Symptoms of Depressive Disorder,By State,Idaho,Idaho,2020-07,25.6
1922,Symptoms of Depressive Disorder,By State,Illinois,Illinois,2020-07,27.6
1923,Symptoms of Depressive Disorder,By State,Indiana,Indiana,2020-07,27.7
1924,Symptoms of Depressive Disorder,By State,Iowa,Iowa,2020-07,17.5
1925,Symptoms of Depressive Disorder,By State,Kansas,Kansas,2020-07,21.5
1926,Symptoms of Depressive Disorder,By State,Kentucky,Kentucky,2020-07,27.4
1927,Symptoms of Depressive Disorder,By State,Louisiana,Louisiana,2020-07,33.5
1928,Symptoms of Depressive Disorder,By State,Maine,Maine,2020-07,26.6
1929,Symptoms of Depressive Disorder,By State,Maryland,Maryland,2020-07,22.5
1930,Symptoms of Depressive Disorder,By State,Massachusetts,Massachusetts,2020-07,21.8
1931,Symptoms of Depressive Disorder,By State,Michigan,Michigan,2020-07,26.6
1932,Symptoms of Depressive Disorder,By State,Minnesota,Minnesota,2020-07,20.9
1933,Symptoms of Depressive Disorder,By State,Mississippi,Mississippi,2020-07,32.0
1934,Symptoms of Depressive Disorder,By State,Missouri,Missouri,2020-07,28.8
1935,Symptoms of Depressive Disorder,By State,Montana,Montana,2020-07,23.8
1936,Symptoms of Depressive Disorder,By State,Nebraska,Nebraska,2020-07,23.6
1937,Symptoms of Depressive Disorder,By State,Nevada,Nevada,2020-07,34.6
1938,Symptoms of Depressive Disorder,By State,New Hampshire,New Hampshire,2020-07,19.7
1939,Symptoms of Depressive Disorder,By State,New Jersey,New Jersey,2020-07,25.9
1940,Symptoms of Depressive Disorder,By State,New Mexico,New Mexico,2020-07,32.5
1941,Symptoms of Depressive Disorder,By State,New York,New York,2020-07,28.5
1942,Symptoms of Depressive Disorder,By State,North Carolina,North Carolina,2020-07,28.3
1943,Symptoms of Depressive Disorder,By State,North Dakota,North Dakota,2020-07,23.0
1944,Symptoms of Depressive Disorder,By State,Ohio,Ohio,2020-07,25.6
1945,Symptoms of Depressive Disorder,By State,Oklahoma,Oklahoma,2020-07,29.4
1946,Symptoms of Depressive Disorder,By State,Oregon,Oregon,2020-07,29.9
1947,Symptoms of Depressive Disorder,By State,Pennsylvania,Pennsylvania,2020-07,26.0
1948,Symptoms of Depressive Disorder,By State,Rhode Island,Rhode Island,2020-07,22.8
1949,Symptoms of Depressive Disorder,By State,South Carolina,South Carolina,2020-07,29.3
1950,Symptoms of Depressive Disorder,By State,South Dakota,South Dakota,2020-07,26.7
1951,Symptoms of Depressive Disorder,By State,Tennessee,Tennessee,2020-07,31.7
1952,Symptoms of Depressive Disorder,By State,Texas,Texas,2020-07,30.5
1953,Symptoms of Depressive Disorder,By State,Utah,Utah,2020-07,25.0
1954,Symptoms of Depressive Disorder,By State,Vermont,Vermont,2020-07,22.2
1955,Symptoms of Depressive Disorder,By State,Virginia,Virginia,2020-07,29.5
1956,Symptoms of Depressive Disorder,By State,Washington,Washington,2020-07,27.8
1957,Symptoms of Depressive Disorder,By State,West Virginia,West Virginia,2020-07,24.2
1958,Symptoms of Depressive Disorder,By State,Wisconsin,Wisconsin,2020-07,24.6
1959,Symptoms of Depressive Disorder,By State,Wyoming,Wyoming,2020-07,26.5
1979,Symptoms of Anxiety Disorder,By State,Alabama,Alabama,2020-07,34.4
1980,Symptoms of Anxiety Disorder,By State,Alaska,Alaska,2020-07,27.3
1981,Symptoms of Anxiety Disorder,By State,Arizona,Arizona,2020-07,36.6
1982,Symptoms of Anxiety Disorder,By State,Arkansas,Arkansas,2020-07,34.7
1983,Symptoms of Anxiety Disorder,By State,California,California,2020-07,32.9
1984,Symptoms of Anxiety Disorder,By State,Colorado,Colorado,2020-07,35.4
1985,Symptoms of Anxiety Disorder,By State,Connecticut,Connecticut,2020-07,33.6
1986,Symptoms of Anxiety Disorder,By State,Delaware,Delaware,2020-07,27.3
1987,Symptoms of Anxiety Disorder,By State,District of Columbia,District of Columbia,2020-07,35.2
1988,Symptoms of Anxiety Disorder,By State,Florida,Florida,2020-07,37.8
1989,Symptoms of Anxiety Disorder,By State,Georgia,Georgia,2020-07,32.5
1990,Symptoms of Anxiety Disorder,By State,Hawaii,Hawaii,2020-07,34.2
1991,Symptoms of Anxiety Disorder,By State,Idaho,Idaho,2020-07,32.7
1992,Symptoms of Anxiety Disorder,By State,Illinois,Illinois,2020-07,35.1
1993,Symptoms of Anxiety Disorder,By State,Indiana,Indiana,2020-07,34.8
1994,Symptoms of Anxiety Disorder,By State,Iowa,Iowa,2020-07,29.6
1995,Symptoms of Anxiety Disorder,By State,Kansas,Kansas,2020-07,32.3
1996,Symptoms of Anxiety Disorder,By State,Kentucky,Kentucky,2020-07,36.3
1997,Symptoms of Anxiety Disorder,By State,Louisiana,Louisiana,2020-07,38.6
1998,Symptoms of Anxiety Disorder,By State,Maine,Maine,2020-07,32.8
1999,Symptoms of Anxiety Disorder,By State,Maryland,Maryland,2020-07,32.2
2000,Symptoms of Anxiety Disorder,By State,Massachusetts,Massachusetts,2020-07,30.1
2001,Symptoms of Anxiety Disorder,By State,Michigan,Michigan,2020-07,31.1
2002,Symptoms of Anxiety Disorder,By State,Minnesota,Minnesota,2020-07,27.6
2003,Symptoms of Anxiety Disorder,By State,Mississippi,Mississippi,2020-07,40.2
2004,Symptoms of Anxiety Disorder,By State,Missouri,Missouri,2020-07,35.3
2005,Symptoms of Anxiety Disorder,By State,Montana,Montana,2020-07,31.7
2006,Symptoms of Anxiety Disorder,By State,Nebraska,Nebraska,2020-07,25.7
2007,Symptoms of Anxiety Disorder,By State,Nevada,Nevada,2020-07,40.6
2008,Symptoms of Anxiety Disorder,By State,New Hampshire,New Hampshire,2020-07,32.5
2009,Symptoms of Anxiety Disorder,By State,New Jersey,New Jersey,2020-07,33.6
2010,Symptoms of Anxiety Disorder,By State,New Mexico,New Mexico,2020-07,38.1
